run,test_size,train_size,normalize,accuracy,confusion_matrix
68,0.1,0.9,False,0.6306122448979592,"[[  0   0   0   0   0   0   0]
 [  0   7   7   8   3   0   0]
 [  2   5  81  32   6   0   0]
 [  0   5  36 161  27   5   0]
 [  0   1   3  23  49   4   0]
 [  0   0   0   7   6  11   0]
 [  0   0   0   0   0   1   0]]"
69,0.1,0.9,False,0.6510204081632653,"[[  0   0   0   0   1   0]
 [  0   3   5   3   1   0]
 [  0   2  94  39  10   2]
 [  0   5  37 162  24   4]
 [  0   1   5  18  52   3]
 [  0   0   0   6   5   8]]"
70,0.1,0.9,False,0.6,"[[  0   1   1   2   0   0]
 [  0   4   7   2   0   0]
 [  0   3  93  53   6   1]
 [  1   4  38 139  28  11]
 [  0   0   7  22  49   2]
 [  0   0   0   2   5   9]]"
71,0.1,0.9,False,0.6387755102040816,"[[  0   0   2   0   0   0]
 [  0   6   4   6   0   0]
 [  0   9  83  35  17   2]
 [  0   2  24 154  26   3]
 [  0   1   5  30  60   3]
 [  0   0   2   5   1  10]]"
72,0.1,0.9,False,0.6346938775510204,"[[  0   0   0   0   1   0   0]
 [  0   2   4   6   1   0   0]
 [  0   7  83  32   8   0   0]
 [  1   3  28 152  33   4   0]
 [  0   0   8  25  65   5   0]
 [  0   0   2   3   6   9   0]
 [  0   0   0   0   1   1   0]]"
73,0.1,0.9,False,0.6163265306122448,"[[  0   0   0   2   2   0   0]
 [  0   2   8   8   1   0   0]
 [  0   5  92  31   5   1   0]
 [  0   2  53 145  21   6   0]
 [  1   0   5  22  54   4   0]
 [  0   0   1   4   5   9   0]
 [  0   0   0   0   0   1   0]]"
74,0.1,0.9,False,0.6224489795918368,"[[  0   0   0   1   0   0   0]
 [  0   3   2   6   1   0   0]
 [  0   6 102  51  10   3   0]
 [  0   3  37 138  20   0   1]
 [  0   0   3  27  56   3   0]
 [  0   0   0   7   4   6   0]
 [  0   0   0   0   0   0   0]]"
75,0.1,0.9,False,0.6183673469387755,"[[  0   1   0   0   0   0   0]
 [  1   6   7   1   1   1   0]
 [  1   5  84  42   4   1   0]
 [  0   1  43 161  23   3   0]
 [  0   2   7  28  45   3   0]
 [  0   0   1   4   6   7   0]
 [  0   0   0   1   0   0   0]]"
76,0.1,0.9,False,0.6020408163265306,"[[  0   0   0   0   0   0   0]
 [  0   4   3   6   0   1   0]
 [  1   7  88  45   9   0   0]
 [  0   3  29 158  29   5   0]
 [  0   0   7  31  35  11   0]
 [  0   0   1   3   3  10   0]
 [  0   0   0   1   0   0   0]]"
77,0.1,0.9,False,0.6285714285714286,"[[  0   0   1   1   1   0   0]
 [  0   6   5  10   2   1   0]
 [  0   5 104  30   8   1   0]
 [  0   2  29 138  33   6   0]
 [  0   2   2  25  46   4   0]
 [  0   0   0   5   8  14   0]
 [  0   0   0   0   0   1   0]]"
78,0.1,0.9,False,0.6,"[[  0   0   1   0   0   0   0]
 [  0   4   5   4   0   0   0]
 [  0   7  89  30   9   1   0]
 [  0   2  54 146  32   2   1]
 [  0   0   3  30  46   4   0]
 [  0   0   3   4   3   9   1]
 [  0   0   0   0   0   0   0]]"
79,0.1,0.9,False,0.6265306122448979,"[[  0   0   2   0   0   0   0]
 [  0   7   7   2   1   0   0]
 [  0  11  98  26   4   0   0]
 [  1   3  35 142  30  11   0]
 [  0   0   3  25  50   8   0]
 [  0   0   1   8   3  10   0]
 [  0   0   0   2   0   0   0]]"
80,0.1,0.9,False,0.6489795918367347,"[[  0   0   2   0   0   0   0]
 [  0   7   9   3   0   0   0]
 [  2   6 104  32   6   3   0]
 [  0   5  29 151  23   3   0]
 [  1   2   5  32  47   2   1]
 [  0   0   0   2   3   9   1]
 [  0   0   0   0   0   0   0]]"
81,0.1,0.9,False,0.6469387755102041,"[[  0   0   1   1   0   0]
 [  0   7   6   4   0   0]
 [  0   6  84  46   9   0]
 [  1   1  36 163  19   5]
 [  0   0   5  23  59   2]
 [  0   0   0   3   5   4]]"
82,0.1,0.9,False,0.6448979591836734,"[[  0   0   1   1   1   0   0]
 [  0   5   7   4   1   0   1]
 [  0   8 101  40   5   2   0]
 [  0   2  39 150  16   2   0]
 [  0   2   9  20  53   5   0]
 [  0   0   2   1   4   7   0]
 [  0   0   0   1   0   0   0]]"
83,0.1,0.9,False,0.6204081632653061,"[[  0   0   1   1   0   0]
 [  0   4   3   3   0   0]
 [  2   2 109  42   6   3]
 [  1   6  41 144  22   5]
 [  0   2   5  26  43   5]
 [  0   0   0   5   5   4]]"
84,0.1,0.9,False,0.5918367346938775,"[[  0   1   1   1   0   0   0]
 [  1   6   4   3   1   0   0]
 [  0   7  89  36  11   1   0]
 [  0   4  39 153  26   4   0]
 [  1   1   8  35  33   5   1]
 [  0   0   0   4   5   9   0]
 [  0   0   0   0   0   0   0]]"
85,0.1,0.9,False,0.6265306122448979,"[[  0   0   1   0   0   0   0]
 [  1   8   3   7   0   0   0]
 [  1   6  93  30   8   0   0]
 [  0   4  39 145  27   7   0]
 [  0   1   7  27  55   6   0]
 [  0   1   0   2   4   6   0]
 [  0   0   0   0   1   0   0]]"
86,0.1,0.9,False,0.6836734693877551,"[[  0   1   0   0   0   0]
 [  0   6   2   2   0   0]
 [  0   3  95  38   4   0]
 [  0   5  34 182  15   2]
 [  0   0   6  29  44   6]
 [  0   0   1   5   2   8]]"
87,0.1,0.9,False,0.6142857142857143,"[[  0   0   2   1   0   0]
 [  0   3   2   6   2   0]
 [  0   7 107  38   5   2]
 [  0   2  47 137  25   5]
 [  0   0   4  27  44   7]
 [  0   0   0   6   1  10]]"
88,0.1,0.9,False,0.6306122448979592,"[[  0   0   2   0   1   0   0]
 [  0   4   9   3   1   0   0]
 [  0   7  96  41   8   0   0]
 [  0   4  40 144  27   2   1]
 [  0   0   2  23  57   1   0]
 [  0   0   1   2   6   8   0]
 [  0   0   0   0   0   0   0]]"
89,0.1,0.9,False,0.6204081632653061,"[[  0   1   2   2   1   0]
 [  0   5   6   6   1   0]
 [  0   2 100  46   8   0]
 [  0   2  24 133  27   6]
 [  0   2   5  31  52   7]
 [  0   1   1   3   2  14]]"
90,0.1,0.9,False,0.6428571428571429,"[[  0   0   0   0   0   0]
 [  0   3   5   7   0   0]
 [  1   5 100  36  12   3]
 [  0   3  28 145  31   8]
 [  0   0   2  15  57   6]
 [  0   0   1   8   4  10]]"
91,0.1,0.9,False,0.6591836734693878,"[[  0   0   1   1   1   0   0]
 [  1   3   9   5   1   0   0]
 [  0   5  87  25   6   1   0]
 [  0   5  34 167  27   1   0]
 [  0   0   4  23  58   4   0]
 [  0   0   2   5   5   8   0]
 [  0   0   0   1   0   0   0]]"
92,0.1,0.9,False,0.6204081632653061,"[[  0   0   0   4   0   0   0]
 [  0  10   7   3   1   0   0]
 [  0   4  89  31   8   1   0]
 [  1   4  41 145  35   5   0]
 [  0   0   9  22  45   6   0]
 [  0   0   0   2   1  15   0]
 [  0   0   0   0   1   0   0]]"
93,0.1,0.9,False,0.610204081632653,"[[  0   0   1   0   1   0   0]
 [  0   8  12   4   0   0   0]
 [  0   4  91  41   7   0   0]
 [  1   2  36 131  25   4   1]
 [  0   1   6  24  55   5   0]
 [  0   0   2   4  10  14   0]
 [  0   0   0   0   0   0   0]]"
94,0.1,0.9,False,0.6448979591836734,"[[  0   1   3   2   0   0   0]
 [  0   2   6   4   0   0   0]
 [  0   5  96  40   5   2   0]
 [  1   0  42 156  28   1   0]
 [  0   1   4  18  55   7   0]
 [  0   0   1   1   1   7   0]
 [  0   0   0   0   1   0   0]]"
95,0.1,0.9,False,0.6693877551020408,"[[  0   0   0   0   0   1   0]
 [  0   4   4   5   1   1   0]
 [  0   3  95  37   5   0   0]
 [  0   2  27 158  27   2   0]
 [  0   1   4  23  61   5   0]
 [  0   0   2   4   7  10   0]
 [  0   0   0   0   1   0   0]]"
96,0.1,0.9,False,0.5795918367346938,"[[  0   1   1   0   0   1   0]
 [  0   5   7   2   3   0   0]
 [  1   7  96  45   4   0   0]
 [  0   2  36 138  35   9   1]
 [  0   0   3  40  38   2   0]
 [  0   0   0   4   2   7   0]
 [  0   0   0   0   0   0   0]]"
97,0.1,0.9,False,0.6346938775510204,"[[  0   0   3   1   0   1   0]
 [  1   5   3   6   1   0   0]
 [  0   5  94  31   9   1   0]
 [  1   5  35 149  25   8   1]
 [  0   0   6  22  55   9   0]
 [  0   0   1   1   3   8   0]
 [  0   0   0   0   0   0   0]]"
98,0.1,0.9,False,0.6285714285714286,"[[  0   0   0   0   0   0]
 [  0   5   4   5   0   0]
 [  0   3  85  36   6   0]
 [  2   5  40 148  31   1]
 [  1   1   5  24  62   7]
 [  0   0   1   8   2   8]]"
99,0.1,0.9,False,0.6244897959183674,"[[  0   0   0   1   0   0   0]
 [  0   6   3   4   1   0   0]
 [  0   7 105  29   7   3   0]
 [  1   3  35 146  31   5   2]
 [  0   3   4  30  42   4   0]
 [  0   0   3   4   3   7   0]
 [  0   0   0   1   0   0   0]]"
100,0.1,0.9,False,0.6285714285714286,"[[  0   0   1   0   0   0   0]
 [  0   7   6   4   1   0   0]
 [  3  11  87  44   3   0   0]
 [  0   5  34 153  18   2   0]
 [  0   0   7  24  49   4   0]
 [  0   0   1   6   7  12   0]
 [  0   0   0   1   0   0   0]]"
